"http://commons.wikimedia.org/wiki/Commons:Copyright_tags",,,,
"PD-AZ-exempt","Public Domain","free-display",,"- for official documents (laws, court decisions, other texts of legislative, administrative or judicial character) and official translations thereof; State emblems and official signs (flags, armorial bearings, decorations, monetary signs and other State symbols and official signs); works of folklore, which have no signs of Article 5 of this law; communications concerning events and facts that have informational character."
"PD-Bahrain","Public Domain","free-display",,"- for photographs and films 50 years starting from the end of the production year, for other works 50 years after the author's death."
"PD-Bain","Public Domain","free-display",,"- for images from the George Grantham Bain Collection"
"PD-BnFMandragorePic","Public Domain","free-display",,"- for digitized version of old images from the [http://mandragore.bnf.fr mandragore database] at the Bibliothèque nationale de France"
"PD-Brady-Handy","Public Domain","free-display",,"- for images from the Brady-Handy Collection"
"PD-BrazilGov","Public Domain","free-display",,"- for official, public, national, foreign or international escutcheons, coats of arms, medals, flags, emblems, badges and monuments."
"PD-Brazil-media","Public Domain","free-display",,"- for Brazilian photographs and audiovisual works first published more than 70 years ago."
"PD-Brockhaus&Efron","Public Domain","free-display",,"- for images from the ''Brockhaus and Efron Encyclopedic Dictionary'' (1890-1907)"
"PD-BW","Public Domain","free-display",,"- for publicly available service regulations (""Zentrale Dienstvorschrift"") of the German Armed Forces (Bundeswehr)."
"PD-BY-exempt","Public Domain","free-display",,"- for formal documents (laws, judgements, other texts of legal, administrative and judicial nature), and also their official translations; state symbols and signs (flag, coat of arms, anthem, awards, banknotes and other signs); works of folk arts, authors of which are not known."
"PD-CAGov","Public Domain","free-display",,"- for images from the State of California, see [[Template talk:PD-CAGov]]."
"PD-Canada","Public Domain","free-display",,"- for Crown Copyright images first published over 50 years ago, photographs created before 1949 and other works where the author has been dead for over 50 years."
"PD-Canada-stamp","Public Domain","free-display",,"- for stamps over 50 years old."
"PD-Chile","Public Domain","free-display",,"- for works in the public domain according to Chilean law (see: [[Template talk:PD-Chile]])."
"PD-China","Public Domain","free-display",,"- for images in the public domain according to the People's Republic of China (mainland) and the Republic of China (Taiwan)."
"PD-Coa-Finland","Public Domain","free-display",,"- for Finnish coats of arms of municipalities (''kunta''), districts (''maakunta'') or administrative or historical provinces (''lääni'')."
"PD-Coa-Germany","Public Domain","free-display",,"- for German coats of arms of corporations governed by public law that are in the public domain according to German law because they are official works (§ 5 Abs. 1 UrhG)."
"PD-Croatia","Public Domain","free-display",,"- for works whose author died before 1949 or published before 1949 if anonymous (public domain prior to introduction of the new law in 1999)."
"PD-Croatia-exempt","Public Domain","free-display",,"- for works exempt from copyright under the Croatian law"
"PD-Cuba","Public Domain","free-display",,"- for works made in Cuba whose copyright has expired."
"PD-CzechGov","Public Domain","free-display",,"- for public domain Czech official works, state symbols etc."
"PD-Demis","Public Domain","free-display",,"- for images derived from the maps in the [http://www.demis.nl/home/pages/Gallery/examples.htm Demis examples gallery] - see also [[Template talk:PD-Demis]] for explanation."
"PD-Denmark50","Public Domain","free-display",,"- for ""photographic ''images''"" in the public domain according to Danish law. Note that ""photographic ''works''"" only enter the public domain 70 years after death of creator."
"PD-DenmarkEVH","Public Domain","free-display",,"- for illustrations that are merely copies of factual representations and thus does not qualify as ''værkshøjde''"
"PD-Deutsche Bundespost stamps","Public Domain","free-display",,"- for German stamps released as ''Deutsche Bundespost''."
"PD-Edison Records","Public Domain","free-display",,"- for public domain sound recordings from Edison Records."
"PD-EEA",,"unknown",,"- [http://www.eea.eu.int/ EEA Website] for media copyrighted by the Organization of American States perhaps may not be modified; use in journalistic/scientific contexts only."
"PD-EE-exempt","Public Domain","free-display",,"- Copyright does not apply to works of folklore, legislation and administrative documents, court decisions and official translations thereof; official symbols of the state and insignia of organizations. [[COM:FOP|Freedom of panorama]] in Estonia is restricted to non-commercial uses only, or to overview photos."
"PD-Egypt","Public Domain","free-display",,"- Photographs, paintings, and drawings 25 years after publication, or before the year 1987."
"PD-Fiji","Public Domain","free-display",,"- for photographs at least 50 years after production."
"PD-Finland","Public Domain","free-display",,"- for photographic ""works"" and other art works in the public domain according to Finnish law. Same as {{tl|PD-old-70}} for Finnish works."
"PD-Finland50","Public Domain","free-display",,"- for photographic ""images"" in the public domain according to Finnish law."
"PD-FinlandGov","Public Domain","free-display",,"- for laws, statements and decisions of Finnish officials."
"PD-Flag-Germany","Public Domain","free-display",,"- for German flags of corporations governed by public law that are in the public domain according to German law because they are official works (§ 5 Abs. 1 UrhG)."
"PD-FLGov","Public Domain","free-display",,"- for images created by the Government of the US state Florida that are ineligible for copyright."
"PD-GallicaPic","Public Domain","free-display",,"- for digitized version of old images from the [http://gallica.bnf.fr the online library] at the Bibliothèque nationale de France"
"PD-GDR stamps","Public Domain","free-display",,"- for German stamps released as ''Deutsche Post der DDR''."
"PD-GE-exempt","Public Domain","free-display",,"- for official documents (laws, decisions of courts, other texts of administrative and normative character), as well as their official translations; official symbols of state (flag, emblem, anthem, award, monetary symbols, other official signs and symbols of state); information of events and facts."
"PD-GermanGov","Public Domain","free-display",,"- for public domain images from Germany statutes or other regulations."
"PD-German stamps","Public Domain","free-display",,"- for current German stamps."
"PD-Gutenberg","Public Domain","free-display",,"- for image from ''[http://gutenberg.org/ Project Gutenberg]'' that is directly from public domain works hosted on that site.  Not all works or images from this site are public domain, so be careful. See [[Commons:Problematic sources#Project Gutenberg]]."
"PD-heirs","Public Domain","free-display",,"- for works released into the public domain by the heirs of the creator"
"PD-Highsmith","Public Domain","free-display",,"- for images from the Carol Highsmith Collection"
"PD-HK","Public Domain","free-display",,"- for work with copyright expired."
"PD-HK-PR","Public Domain","free-display",,"- for work which was considered as a Public record."
"PD-HU-exempt","Public Domain","free-display",,"- for works not eligible for copyright in Hungary."
"PD-IcelandMYD","Public Domain","free-display",,"- for illustrations that are copies of factual representations."
"PD-IDGov","Public Domain","free-display",,"- Indonesian public domain because the artwork/file was published and/or distributed by the government of Republic of Indonesia."
"PD-IDOld-Art29","Public Domain","free-display",,"- Indonesia public domain of old writings, music, arts, architecture, lectures, maps and translation products."
"PD-IDOld-Art30","Public Domain","free-display",,"- Indonesian public domain of old pictures, movies, software and other engineered products."
"PD-India","Public Domain","free-display",,"- India public domain images and sounds - 60 years after the end of the year of first publication, provided that the subject matter of the photo or recording is also not protected by copyright."
"PD-IndiaGov",,"nonfree",,"- information intended for public use under the Right to Information Act is in Public Domain. Usually sites with the extension *.gov.in and *.nic.in"
"PD-ineligible",,,,"- for works too trivial to be copyrighted"
"PD-Internationale","Public Domain","free-display",,"- for media using the melody of [[the Internationale]]."
"PD-Iran","Public Domain","free-display",,"- copyright in photographs and movies lasts 30 years from the date of publication or presentation. Copyright in other images lasts for the life of the creator plus 30 years."
"PD-Iraq","Public Domain","free-display",,"- photos 5 years after publication, starting from the publication date."
"PD-Ireland","Public Domain","free-display",,"- same as {{tl|PD-old-70}} for images from Ireland."
"PD-IrishGov","Public Domain","free-display",,"- Irish government works are generally released to the public domain 50 years after creation."
"PD-Israel","Public Domain","free-display",,"- According to Israel's copyright law, works are released to the public domain 70 years after their author's death, starting from January 1st which occurs after the date of death. Photographs taken before May 2008 are released to the public domain 50 years after their creation, starting from January 1st which occurs after the day in which the photograph was taken. Photographs taken by a public authority (i.e. the government and its affiliated bodies) are released to public domain 50 years after their publication, starting from January 1st which occurs after the date of the first publication. According to the new Israeli copyright law, effective since May 2008, photographs are no longer an exception, and are released to the public domain 70 years after their photographer's death, unless taken by a public authority in which case the previous arrangement remains."
"PD-Japan","Public Domain","free-display",,"- for Japanese non-photographic works 50 years after the death of the creator (there being multiple creators, the creator who dies last)."
"PD-Japan-film","Public Domain","free-display",,"- for films produced in Japan prior to 1953"
"PD-Japan-oldphoto","Public Domain","free-display",,"- for Japanese photos published before 31th December 1956, or photographed before 1946 and not published for 10 years."
"PD-Japan-organization","Public Domain","free-display",,"- for images of the works in names of organizations/companies/corporations 50 years after the publication"
"PD-JohnRogers","Public Domain","free-display",,"- for photos from [http://www.johnrogers.info JohnRogers.info]"
"PD-JORF","Public Domain","free-display",,"- For French official legal texts as published in the ''Journal officiel de la République Française'' (or reprinted on ''[http://www.legifrance.gouv.fr Légifrance]''; note: not all texts on Légifrance are out-of-copyright, many others are copyrighted under free licenses, and sometimes under unfree licenses)."
"PD-JORF-nor-conso","Public Domain","free-display",,"- with NOR (identification number) and index of the updated text."
"PD-Kenya","Public Domain","free-display",,"- for works whose author died more than 50 years ago (for photographs 50 years after first publication)."
"PD-KG-exempt","Public Domain","free-display",,"- for official documents (laws, resolutions, decisions, etc) as well as official translations thereof; State emblems and official signs (flags, armorial bearings, orders, monetary signs and etc.); Works of folklore; Information on the news of the day or information on the current events that are of the common press-information character; The results obtained with the help of technical means for the production of a certain type without creative activity of a man directly targeted for creation of an individual work (as amended by Law #120 from November 6, 1999)."
"PD-Kuwait","Public Domain","free-display",,"- photographs, films and two dimensional artistic works 50 years after publication, starting from the end of the publication year."
"PD-KZ-exempt","Public Domain","free-display",,"- for official documents (laws, court decisions and other texts of a legislative, administrative, judicial or diplomatic nature) together with official translations thereof, state emblems and official signs (flags, armorial bearings, decorations, monetary signs and other State symbols and official signs), works of folklore , communications concerning events and facts that have an informational character."
"PD-Lebanon","Public Domain","free-display",,"- photos and two dimensional artistic works 50 years after publication, starting from the end of the publication year ''after which attribution is still required forever.''"
"PD-Libya","Public Domain","free-display",,"- photos 5 years starting from the date of first publication of the work."
"PD-LosAlamos","Public Domain","free-display",,"- for DOE public domain images from the Los Alamos National Laboratory"
"PD-LT-exempt","Public Domain","free-display",,"- for official Lithuanian State symbols and insignia (flags, coats-of-arms, anthems, banknote designs, and other State symbols and insignia)"
"PD-LV-exempt","Public Domain","free-display",,"-  for official Latvian State symbols and insignia (flags, coats-of-arms, anthems, banknote designs, and other State symbols and insignia)."
"PD-MacaoGov","Public Domain","free-display",,"- for official works of Macao."
"PD-Malawi","Public Domain","free-display",,"- for following types of works:"
"PD-Manchukuo-stamps","Public Domain","free-display",,"- for images of Manchukuo stamps that are now in the public domain in China."
"PD-Mauritius","Public Domain","free-display",,"- photographs 25 years after creation, audio-visual works 50 years after publication, other works 50 years after the author's death."
"PD-MD-exempt","Public Domain","free-display",,"- for official documents (laws, court decisions, etc.) or to the official translations thereof, state emblems and official signs (flags, armorial bearings, decorations, monetary signs, etc), folklore expressions, daily news and facts of simple informational nature, the mode of expression rather than ideas, processes, functioning methods or mathematical concepts as such shall be protected by copyright."
"PD-Mexico","Public Domain","free-display",,"- Government works created by author that has been dead over 100 years."
"PD-Meyers","Public Domain","free-display",,"- for image from the 4th edition of ''Meyers Konversationslexikon'' (1885-90)."
"PD-MO","Public Domain","free-display",,"- for works 50 years after the author's death or 50 years after creation if authorship unknown."
"PD-money-Romania","Public Domain","free-display",,"- for images of coins or notes."
"PD-Morocco","Public Domain","free-display",,"- photos and films 50 years after publication, starting from the end of the publication year. Other works 50 years after the author's death."
"PD-MX-exempt","Public Domain","free-display",,"- Shields, flags or emblems of the Mexican government, or any other organization officially recognized."
"PD-Namibia","Public Domain","free-display",,"- photos, films and computer programs 50 years after publication, starting from the end of the publication year. Other works 50 years after the author's death."
"PD-National Photo Company","Public Domain","free-display",,"- for public domain images from the National Photo Company Collection"
"PD-Nigeria","Public Domain","free-display",,"- for following types of works:"
"PD-NL-gemeentevlag","Public Domain","free-display",,"- for flags of (no longer existing) municipalities, provinces and the country itself"
